KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001101001,T001101002,T001101003,T001101004,T001101005,T001101006,T001101007,T001101008,T001101009,T001101010,T001101011,T001101012,T001101013,T001101014,T001101015,T001101016,T001101017,T001101018,T001101019,T001101020,T001101021,T001101022,T001101023,T001101024,T001101025,T001101026,T001101027,T001101028,T001101029,T001101030,T001101031,T001101032,T001101033,T001101034,T001101035,T001101036,T001101037,T001101038,T001101039,T001101040,T001101041,T001101042,T001101043,T001101044,T001101045,T001101046,T001101047,T001101048,T001101049,T001101050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
524040512,1,,524040513,233,106,127,23,12,11,212,94,118,103,47,56,202,89,113,196,86,110,109,47,62,61,25,36,21,6,15,2,1,1,7,1,6,94,94,25,31,20,11,5,1,2,70,51,19,6,71,0,20,26
524040513,2,524040512,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
524040514,0,,,155,77,78,8,5,3,147,72,75,90,45,45,139,67,72,136,65,71,57,27,30,28,13,15,9,4,5,0,0,0,1,0,1,62,62,15,23,14,2,4,4,0,47,36,11,2,37,0,8,12
524040523,1,,524040524,81,42,39,3,1,2,82,42,40,34,19,15,80,40,40,78,39,39,48,23,25,18,6,12,4,1,3,0,0,0,0,0,0,38,38,11,18,6,2,1,0,1,28,24,4,0,34,0,10,13
524040524,2,524040523,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
524040601,2,524040503,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
524040611,2,524040612,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
524040612,1,,524040611,20,12,8,2,0,2,25,16,9,7,6,1,25,16,9,25,16,9,18,10,8,4,2,2,0,0,0,0,0,0,0,0,0,13,13,10,5,1,1,0,0,0,7,7,0,0,12,0,6,5
524040621,0,,,199,101,98,14,4,10,185,97,88,102,52,50,182,96,86,181,96,85,83,45,38,41,20,21,12,6,6,2,1,1,2,1,1,73,73,10,29,16,12,2,3,1,63,44,19,4,52,0,5,13
524040622,0,,,93,50,43,4,2,2,86,45,41,53,25,28,81,43,38,79,42,37,33,20,13,18,10,8,3,1,2,0,0,0,10,3,7,53,53,32,14,2,0,4,0,1,20,16,4,0,27,9,14,4
524040631,0,,,24,12,12,1,0,1,23,12,11,15,8,7,23,12,11,23,12,11,8,4,4,4,2,2,2,1,1,0,0,0,0,0,0,11,11,3,4,3,1,0,0,0,8,5,3,0,6,0,2,0
524040633,0,,,91,43,48,2,1,1,89,42,47,46,21,25,84,40,44,82,39,43,43,21,22,24,9,15,11,6,5,0,0,0,0,0,0,37,37,6,18,8,3,0,1,1,31,28,3,0,29,0,6,10
524040634,1,,524040643,72,34,38,7,4,3,68,31,37,32,12,20,66,29,37,65,29,36,36,19,17,14,6,8,5,1,4,2,1,1,0,0,0,29,29,6,13,8,2,1,1,0,25,19,6,2,23,0,5,9
524040643,2,524040634,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
524040702,2,524040703,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
524040703,1,,524040702;524040801,14,9,5,3,3,0,16,8,8,9,5,4,15,7,8,14,7,7,7,3,4,5,2,3,0,0,0,0,0,0,0,0,0,4,4,1,4,0,1,0,1,0,6,6,0,0,4,0,1,3
524040732,0,,,36,15,21,5,1,4,31,14,17,21,10,11,31,14,17,30,14,16,10,4,6,5,1,4,0,0,0,0,0,0,1,0,1,18,18,7,6,3,2,0,0,0,11,11,0,1,8,0,4,1
